iter	Passed	Remaining
595	1240	840
596	1242	838
597	1244	836
598	1246	834
599	1247	831
600	1249	829
601	1251	827
602	1253	825
603	1254	822
604	1256	820
605	1259	818
606	1261	816
607	1263	814
608	1265	812
609	1266	810
610	1268	807
611	1270	805
612	1272	803
613	1274	801
614	1276	798
615	1278	796
616	1279	794
617	1281	792
618	1283	789
619	1285	787
620	1286	785
621	1289	783
622	1291	781
623	1292	779
624	1294	776
625	1296	774
626	1298	772
627	1300	770
628	1302	768
629	1304	766
630	1306	763
631	1307	761
632	1309	759
633	1311	757
634	1313	754
635	1315	752
636	1317	750
637	1319	748
638	1321	746
639	1323	744
640	1325	742
641	1326	739
642	1328	737
643	1330	735
644	1332	733
645	1335	731
646	1336	729
647	1338	727
648	1340	724
649	1342	722
650	1343	720
651	1345	718
652	1347	716
653	1349	714
654	1351	711
655	1353	709
656	1355	707
657	1357	705
658	1358	703
659	1360	700
660	1362	698
661	1364	696
662	1366	694
663	1368	692
664	1369	690
665	1371	688
666	1373	685
667	1375	683
668	1377	681
669	1379	679
670	1381	677
671	1383	675
672	1384	672
673	1386	670
674	1388	668
675	1390	666
676	1392	664
677	1394	662
678	1396	660
679	1398	657
680	1400	655
681	1402	653
682	1403	651
683	1405	649
684	1407	647
685	1409	645
686	1411	643
687	1413	640
688	1415	638
689	1416	636
690	1418	634
691	1420	632
692	1422	630
693	1424	627
694	1426	625
695	1428	623
696	1430	621
697	1432	619
698	1433	617
699	1435	615
700	1437	613
701	1439	610
702	1441	609
703	1443	607
704	1445	604
705	1447	602
706	1449	600
707	1451	598
708	1452	596
709	1454	594
710	1457	592
711	1459	590
712	1461	588
713	1463	586
714	1465	583
715	1466	581
716	1468	579
717	1470	577
718	1472	575
719	1474	573
720	1476	571
721	1478	569
722	1480	567
723	1481	564
724	1483	562
725	1485	560
726	1487	558
727	1489	556
728	1490	554
729	1492	552
730	1494	550
731	1496	547
732	1498	545
733	1499	543
734	1501	541
735	1503	539
736	1505	537
737	1507	535
738	1509	532
739	1511	530
740	1512	528
741	1514	526
742	1516	524
743	1518	522
744	1520	520
745	1522	518
746	1524	516
747	1526	514
748	1527	511
749	1529	509
750	1531	507
751	1533	505
752	1535	503
753	1537	501
754	1539	499
755	1541	497
756	1543	495
757	1545	493
758	1547	491
759	1549	489
760	1551	487
761	1552	485
762	1554	482
763	1556	480
764	1558	478
765	1560	476
766	1562	474
767	1564	472
768	1565	470
769	1567	468
770	1569	466
771	1571	464
772	1573	461
773	1574	459
774	1576	457
775	1578	455
776	1580	453
777	1582	451
778	1584	449
779	1586	447
780	1588	445
781	1589	443
782	1591	441
783	1593	439
784	1595	437
785	1597	434
786	1599	432
787	1601	430
788	1602	428
789	1604	426
790	1606	424
791	1608	422
792	1610	420
793	1612	418
794	1613	416
795	1615	414
796	1617	411
797	1619	409
798	1621	407
799	1623	405
800	1625	403
801	1627	401
802	1628	399
803	1630	397
804	1632	395
805	1634	393
806	1636	391
807	1638	389
808	1640	387
809	1642	385
810	1644	383
811	1646	381
812	1648	379
813	1649	377
814	1651	374
815	1654	372
816	1656	370
817	1657	368
818	1659	366
819	1661	364
820	1663	362
821	1664	360
822	1666	358
823	1668	356
824	1670	354
825	1672	352
826	1674	350
827	1676	348
828	1678	346
829	1680	344
830	1682	342
831	1684	340
832	1686	338
833	1688	336
834	1690	333
835	1691	331
836	1693	329
837	1695	327
838	1697	325
839	1699	323
840	1701	321
841	1702	319
842	1704	317
843	1706	315
844	1709	313
845	1711	311
846	1713	309
847	1715	307
848	1717	305
849	1718	303
850	1720	301
851	1722	299
852	1723	297
853	1726	295
854	1728	293
855	1730	291
856	1732	289
857	1734	287
858	1736	285
859	1738	282
860	1740	280
861	1741	278
862	1743	276
863	1746	274
864	1747	272
865	1749	270
866	1751	268
867	1753	266
868	1755	264
869	1756	262
870	1758	260
871	1761	258
872	1762	256
873	1764	254
874	1766	252
875	1768	250
876	1770	248
877	1772	246
878	1774	244
879	1776	242
880	1778	240
881	1779	238
882	1781	236
883	1783	234
884	1785	232
885	1787	229
886	1788	227
887	1791	225
888	1793	223
889	1795	221
890	1797	219
891	1798	217
892	1800	215
893	1802	213
894	1804	211
895	1806	209
896	1808	207
897	1810	205
898	1812	203
899	1814	201
900	1816	199
901	1818	197
902	1820	195
903	1822	193
904	1823	191
905	1825	189
906	1827	187
907	1829	185
908	1831	183
909	1833	181
910	1834	179
911	1837	177
912	1839	175
913	1841	173
914	1843	171
915	1845	169
916	1847	167
917	1849	165
918	1851	163
919	1853	161
920	1855	159
921	1857	157
922	1859	155
923	1862	153
924	1865	151
925	1868	149
926	1870	147
927	1872	145
928	1874	143
929	1876	141
930	1878	139
931	1880	137
932	1883	135
933	1885	133
934	1886	131
935	1888	129
936	1890	127
937	1892	125
938	1894	123
939	1895	121
940	1898	119
941	1900	117
942	1902	114
943	1904	112
944	1906	110
945	1907	108
946	1909	106
947	1911	104
948	1913	102
949	1915	100
950	1917	98
951	1919	96
952	1920	94
953	1922	92
954	1924	90
955	1926	88
956	1929	86
957	1930	84
958	1932	82
959	1934	80
960	1936	78
961	1937	76
962	1939	74
963	1941	72
964	1944	70
965	1945	68
966	1947	66
967	1949	64
968	1951	62
969	1953	60
970	1954	58
971	1956	56
972	1959	54
973	1961	52
974	1962	50
975	1964	48
976	1966	46
977	1968	44
978	1970	42
979	1971	40
980	1974	38
981	1975	36
982	1977	34
983	1979	32
984	1981	30
985	1983	28
986	1984	26
987	1986	24
988	1988	22
989	1990	20
990	1992	18
991	1994	16
992	1996	14
993	2001	12
994	2008	10
995	2012	8
996	2015	6
997	2018	4
998	2021	2
999	2024	0
