iter	RMSE
0	14.61463626
1	14.15419853
2	13.68702673
3	13.26669355
4	12.83666073
5	12.44795883
6	12.06069787
7	11.68272403
8	11.31443039
9	10.9671363
10	10.64897648
11	10.32904713
12	10.02714669
13	9.729138378
14	9.453140931
15	9.189729418
16	8.937120614
17	8.703894843
18	8.460606942
19	8.214868486
20	7.984216778
21	7.769143566
22	7.552698144
23	7.35391238
24	7.164718017
25	6.970870717
26	6.781489767
27	6.604088312
28	6.451835898
29	6.295083048
30	6.142639884
31	5.990776332
32	5.852034887
33	5.721183573
34	5.593289132
35	5.481178349
36	5.359051508
37	5.244678882
38	5.136366839
39	5.02950154
40	4.926627042
41	4.840945808
42	4.755487802
43	4.66978061
44	4.582814199
45	4.496642674
46	4.417524429
47	4.338423142
48	4.265252217
49	4.19616298
50	4.125472922
51	4.061174598
52	3.997606108
53	3.935395529
54	3.87493142
55	3.815945162
56	3.763643796
57	3.718047926
58	3.668892175
59	3.625730424
60	3.581357606
61	3.534693281
62	3.494534223
63	3.448790519
64	3.409592727
65	3.374322819
66	3.338587553
67	3.30521515
68	3.273219209
69	3.239074495
70	3.210125389
71	3.18100026
72	3.152305133
73	3.126361625
74	3.099052219
75	3.075272685
76	3.050265651
77	3.026988551
78	3.002171675
79	2.982620453
80	2.961385045
81	2.941515511
82	2.922305325
83	2.905876276
84	2.887760844
85	2.869100396
86	2.855110977
87	2.842279888
88	2.828059353
89	2.812629115
90	2.798565827
91	2.787234434
92	2.774004789
93	2.759584373
94	2.747621167
95	2.736047908
96	2.724002863
97	2.71091658
98	2.700951283
99	2.690133609
100	2.678786665
101	2.67145897
102	2.661625227
103	2.651737419
104	2.644821689
105	2.634476824
106	2.625514243
107	2.615800943
108	2.608597117
109	2.600778568
110	2.593393617
111	2.584847053
112	2.579280994
113	2.572298732
114	2.567015559
115	2.559379085
116	2.551660536
117	2.544067813
118	2.537817108
119	2.532435372
120	2.525694275
121	2.521358736
122	2.515416632
123	2.509985083
124	2.503606565
125	2.499076185
126	2.493609545
127	2.487845024
128	2.481977406
129	2.475782095
130	2.471802276
131	2.467724716
132	2.463045592
133	2.459520602
134	2.456828717
135	2.451883833
136	2.447448275
137	2.445568539
138	2.442587173
139	2.441777496
140	2.436301253
141	2.432797849
142	2.4293662
143	2.425372176
144	2.421890972
145	2.418153176
146	2.412940157
147	2.4091717
