iter	RMSE
148	2.405626718
149	2.402082461
150	2.400073806
151	2.395060173
152	2.389723874
153	2.38673697
154	2.384470642
155	2.376807571
156	2.371195523
157	2.369251016
158	2.362380062
159	2.359288977
160	2.356665269
161	2.35371174
162	2.350247426
163	2.347836107
164	2.345419951
165	2.341722254
166	2.337925148
167	2.333866298
168	2.331660848
169	2.32930154
170	2.327013912
171	2.322682269
172	2.318117603
173	2.314338182
174	2.311113628
175	2.307758532
176	2.305163253
177	2.302881912
178	2.298507635
179	2.294072021
180	2.291063972
181	2.288229538
182	2.282969016
183	2.278239645
184	2.273847972
185	2.272148368
186	2.265661196
187	2.26233463
188	2.261745356
189	2.257673874
190	2.25322739
191	2.251046586
192	2.246508088
193	2.245490388
194	2.240883955
195	2.237060908
196	2.234410474
197	2.230446338
198	2.228671596
199	2.226983423
200	2.224805633
201	2.222581414
202	2.220696782
203	2.216661313
204	2.214051316
205	2.21188024
206	2.210238125
207	2.209659886
208	2.207512822
209	2.206460909
210	2.204297832
211	2.202659881
212	2.199934991
213	2.196968967
214	2.194243443
215	2.190619501
216	2.189787162
217	2.187791124
218	2.185081817
219	2.184275842
220	2.177323026
221	2.176114454
222	2.174759501
223	2.174219731
224	2.169690856
225	2.166596379
226	2.166055357
227	2.164933239
228	2.164173111
229	2.162872319
230	2.162374329
231	2.161705674
232	2.161004423
233	2.155419329
234	2.154376167
235	2.153553812
236	2.152853466
237	2.149979157
238	2.149292497
239	2.148699838
240	2.147054361
241	2.146222781
242	2.142204307
243	2.136842556
244	2.1356314
245	2.130572652
246	2.126948571
247	2.125299441
248	2.121396732
249	2.119595224
250	2.117122471
251	2.114108054
252	2.113525929
253	2.107872507
254	2.104462283
255	2.099615375
256	2.094464729
257	2.090755248
258	2.090248217
259	2.08756957
260	2.087280125
261	2.082899144
262	2.08260266
263	2.07730558
264	2.073495022
265	2.071470221
266	2.067794358
267	2.066978629
268	2.061110651
269	2.057419498
270	2.055129423
271	2.052536147
272	2.048687046
273	2.046717381
274	2.041361827
275	2.037502295
276	2.033445103
277	2.032979534
278	2.03140319
279	2.02635506
280	2.020995853
281	2.016549936
282	2.011885009
283	2.011187151
284	2.010682516
285	2.007576496
286	2.003384818
287	2.000322593
288	1.996985984
289	1.996501783
290	1.995584553
291	1.992803341
292	1.988833921
293	1.983451045
294	1.979697022
295	1.977003042
296	1.973550117
297	1.970826322
298	1.96561625
299	1.964730268
300	1.959339973
301	1.956126056
302	1.951260362
303	1.947976032
304	1.945027412
305	1.940051095
306	1.937090255
307	1.934322997
308	1.930577102
309	1.926202505
310	1.922568407
311	1.92204329
312	1.92090217
313	1.918424683
314	1.91490036
315	1.91074616
316	1.906320013
317	1.902892129
318	1.899296086
319	1.896092413
320	1.89274605
321	1.892416601
322	1.887896036
323	1.883302033
324	1.880281272
325	1.876454885
326	1.873566378
327	1.869418701
328	1.865858398
329	1.862204256
330	1.860000217
331	1.858449259
332	1.854959228
333	1.851071227
334	1.847803953
335	1.844838015
336	1.841685124
337	1.841262439
338	1.839276798
339	1.836660065
340	1.833159797
341	1.829684215
342	1.828039005
343	1.827526516
344	1.824385507
345	1.821049366
346	1.818783113
347	1.815114825
348	1.813149619
349	1.811112963
350	1.807521926
351	1.803434151
352	1.800680652
353	1.799747085
354	1.796630153
355	1.793788922
356	1.790284893
357	1.786500543
358	1.782347785
359	1.781170692
360	1.778724994
361	1.775788805
362	1.773603572
363	1.771070217
364	1.768435424
365	1.767839296
366	1.764793979
367	1.762036725
368	1.759710257
369	1.756764536
370	1.753453602
371	1.7498274
372	1.747456906
373	1.744944662
374	1.74197337
375	1.739238833
376	1.73683506
377	1.734972962
378	1.731882508
379	1.730499786
380	1.728146107
381	1.725359363
382	1.722324934
383	1.720683316
384	1.717227204
385	1.714987882
386	1.712027216
387	1.711778738
388	1.709693149
389	1.706558599
390	1.704121768
391	1.702106847
392	1.699618702
393	1.69766738
394	1.694590801
395	1.691256216
396	1.688533729
397	1.686564241
398	1.684714952
399	1.681233413
400	1.679112172
401	1.676790898
402	1.673653274
403	1.670215795
404	1.668617906
405	1.666581469
406	1.664133764
407	1.661526269
408	1.660898087
409	1.6576812
410	1.654182505
411	1.652492658
412	1.650544215
413	1.647501321
414	1.646413618
415	1.644889887
416	1.642582031
417	1.639259107
418	1.63601514
419	1.632261666
420	1.629964769
421	1.626462669
422	1.624443285
423	1.62323775
424	1.621532968
425	1.618408978
426	1.618079972
427	1.616269517
428	1.613906516
429	1.611101171
430	1.608775803
431	1.605308053
432	1.602154742
433	1.600203797
434	1.597421969
435	1.595237487
436	1.592667311
437	1.5910488
438	1.589603496
439	1.588606766
440	1.587858153
441	1.584923999
442	1.582617848
443	1.581142352
444	1.579531128
445	1.577554004
446	1.575416008
447	1.573658615
448	1.570922584
449	1.570350142
450	1.568164929
451	1.565875935
452	1.562616274
453	1.562320454
454	1.560443997
455	1.558474517
456	1.557305028
457	1.555414817
458	1.553024336
459	1.551508331
460	1.548846333
461	1.547414386
462	1.546870434
463	1.544482712
464	1.542118356
465	1.539612456
466	1.53635681
467	1.535835896
468	1.533445917
469	1.531317345
470	1.530995401
471	1.529025255
472	1.526467797
473	1.52406639
474	1.521859533
475	1.519836278
476	1.517487282
477	1.515162021
478	1.512226574
479	1.509389909
480	1.506430784
481	1.505712035
482	1.503633375
483	1.501699794
484	1.499618567
485	1.496654448
486	1.494910443
487	1.492540802
488	1.490505042
489	1.488402071
490	1.486793101
491	1.484734251
492	1.483346531
493	1.480599635
494	1.47792162
495	1.476015815
496	1.475320821
497	1.473564165
498	1.4721369
499	1.469353349
500	1.466998813
501	1.46477122
502	1.462747866
503	1.460237008
504	1.458174942
505	1.457507772
506	1.455127146
507	1.453281726
508	1.451620877
509	1.450125332
510	1.449536682
511	1.447627295
512	1.445648424
513	1.444424516
514	1.441955917
515	1.439823927
516	1.438359747
517	1.436343816
518	1.435029777
519	1.433247497
520	1.430870545
521	1.428941417
522	1.426286855
523	1.424969518
524	1.424440555
525	1.421928655
526	1.420403569
527	1.418050063
528	1.416507573
529	1.413937758
530	1.412817429
531	1.410838465
532	1.408665491
533	1.407811201
534	1.405292558
535	1.404903626
536	1.403565234
537	1.40247416
538	1.400268192
539	1.398734095
540	1.397304874
541	1.394816261
542	1.392947488
543	1.39205888
544	1.391734602
545	1.38954072
546	1.38757448
547	1.384957979
548	1.382425376
549	1.382006169
550	1.381664648
551	1.379950619
552	1.377532773
553	1.376584503
554	1.373875037
555	1.372053919
556	1.370003151
557	1.369564513
558	1.367472357
559	1.365807183
560	1.363367098
561	1.360842403
562	1.359078017
563	1.357423299
564	1.355943925
565	1.354144326
566	1.352112274
567	1.349902223
568	1.349229503
569	1.347798796
570	1.345431545
571	1.343907804
572	1.342638686
573	1.33981644
574	1.339574585
575	1.338014824
576	1.335314694
577	1.334893881
578	1.332821058
579	1.330646433
580	1.328610091
581	1.326939819
582	1.324343342
583	1.323036565
584	1.321503293
585	1.319888104
586	1.319542734
587	1.318002158
588	1.315808992
589	1.31379027
590	1.311384044
591	1.310807183
592	1.309579562
593	1.308029882
594	1.305885891
595	1.304834206
596	1.303058282
597	1.30092514
598	1.299103301
599	1.298111944
600	1.296029831
601	1.295554944
602	1.293542423
603	1.293217077
604	1.291542986
605	1.289352136
606	1.288309874
607	1.286050116
608	1.285253088
609	1.283426226
610	1.281462837
611	1.280425271
612	1.278863369
613	1.277570594
614	1.276327227
615	1.274639188
616	1.273977838
617	1.273557074
618	1.272525551
619	1.270265227
620	1.268194244
621	1.266150943
622	1.264198971
623	1.262704852
624	1.260874481
625	1.259549722
626	1.259112445
627	1.256905711
628	1.254940102
629	1.252758679
630	1.252327376
631	1.252039828
632	1.249817567
633	1.248269252
634	1.246207586
635	1.2442251
636	1.244052693
637	1.242342547
638	1.241109001
639	1.240375091
640	1.237997708
641	1.236466996
642	1.234930036
643	1.233062551
644	1.231663304
645	1.231343493
646	1.229817165
647	1.229288703
648	1.226984853
649	1.225716385
650	1.225103999
651	1.224867656
652	1.223195415
653	1.222937152
654	1.220889396
655	1.219298133
656	1.217696338
657	1.215929438
658	1.214646581
659	1.212445386
660	1.211315844
661	1.209455051
662	1.207283999
663	1.206028482
664	1.20482699
665	1.204575103
666	1.203037894
667	1.201178642
668	1.199432276
669	1.198392338
670	1.196745197
671	1.195614536
672	1.193820453
673	1.191849081
674	1.189541669
675	1.188830185
676	1.18725819
677	1.185734787
678	1.183977648
679	1.182373144
680	1.181488054
681	1.180581046
682	1.179639654
683	1.177838027
684	1.176577938
685	1.175780238
686	1.174371667
687	1.173389521
688	1.17189485
689	1.169977967
690	1.168252176
691	1.166490264
692	1.164999827
693	1.163545401
694	1.1621323
695	1.159903037
696	1.159001842
697	1.157820485
698	1.157046213
699	1.155268155
700	1.153983928
701	1.152675525
702	1.151780382
703	1.150680167
704	1.150271268
705	1.149073686
706	1.147259302
707	1.145546867
708	1.144368831
709	1.144192005
710	1.143408265
711	1.14141971
712	1.139825155
713	1.13953358
714	1.137956164
715	1.136155938
716	1.13446684
717	1.132691741
718	1.131377138
719	1.129416322
720	1.12912756
721	1.12786849
722	1.126329455
723	1.125655384
724	1.124718173
725	1.124403236
726	1.123204361
727	1.121616066
728	1.120281009
729	1.118436653
730	1.116771272
731	1.115927077
732	1.114589702
733	1.112955134
734	1.1113385
735	1.110769576
736	1.109340252
737	1.109067761
738	1.106866218
739	1.105368717
740	1.103889795
741	1.102400762
742	1.100983764
743	1.099716002
744	1.098222817
745	1.096770616
746	1.095476115
747	1.094092602
748	1.092706917
749	1.091848906
750	1.09064426
751	1.089603951
752	1.088978665
753	1.087880281
754	1.087510024
755	1.087008136
756	1.08560407
757	1.08440931
758	1.082795719
759	1.081490395
760	1.079759559
761	1.078181148
762	1.076645241
763	1.075726168
764	1.07433829
765	1.073687298
766	1.072908592
767	1.071286986
768	1.069905981
769	1.068652712
770	1.067964035
771	1.067805506
772	1.066520481
773	1.065438565
774	1.065164473
775	1.064189123
776	1.063344335
777	1.061575779
778	1.05995491
779	1.057996398
780	1.0569754
781	1.055946047
782	1.054662733
783	1.052497985
784	1.050959385
785	1.04960387
786	1.048439666
787	1.047317451
788	1.046190101
789	1.044835121
790	1.044575566
791	1.043709473
792	1.043079205
793	1.042169614
794	1.040796605
795	1.039283983
796	1.037759617
797	1.036943356
798	1.035741683
799	1.035315849
800	1.034396512
801	1.034082564
802	1.03278114
803	1.031865121
804	1.030466705
805	1.028965017
806	1.027622477
807	1.027329477
808	1.02590196
809	1.025203415
810	1.02370232
811	1.022141875
812	1.020628814
813	1.019966347
814	1.018804689
815	1.017804751
816	1.016795846
817	1.016408327
818	1.016214513
819	1.014878542
820	1.01332806
821	1.011901872
822	1.010468228
823	1.009253721
824	1.007993024
825	1.007309477
826	1.006804313
827	1.006308868
828	1.005491682
829	1.004050006
830	1.002755977
831	1.001196809
832	0.9998248075
833	0.9994358432
834	0.9985877636
835	0.9972295651
836	0.9960674404
837	0.9959164903
838	0.9955427138
839	0.9949103828
840	0.9942532374
841	0.9933837883
842	0.9926781822
843	0.9915064851
844	0.9903247485
845	0.9890860293
846	0.988214361
847	0.9869828274
848	0.9856608162
849	0.9844585475
850	0.9832141582
851	0.98204944
852	0.9810787075
853	0.9795571561
854	0.9784654222
855	0.9771772049
856	0.9764424902
857	0.9753047505
858	0.97422778
859	0.97269597
860	0.9720464284
861	0.97158462
862	0.9703155261
863	0.9692452834
864	0.9677268057
865	0.9662343984
866	0.9659711445
867	0.9646141979
868	0.9630732222
869	0.9619706009
870	0.9611775589
871	0.9602667513
872	0.959503432
873	0.9588068266
874	0.958589377
875	0.9584482656
876	0.9567803895
877	0.9557759335
878	0.9546877387
879	0.9534337826
880	0.9532915059
881	0.9525020506
882	0.9515924874
883	0.9508308693
884	0.9501347028
885	0.9490880796
886	0.947827836
887	0.9469762924
888	0.9462484093
889	0.9457548333
890	0.9454143147
891	0.9442855374
892	0.9434025977
893	0.9420314407
894	0.9406908356
895	0.9397960108
896	0.9385288305
897	0.9378826245
898	0.9368567998
899	0.9354422939
900	0.9339544574
901	0.9326147177
902	0.9313470126
903	0.9310865252
904	0.9300090527
905	0.9291317022
906	0.9277168089
907	0.9274358606
908	0.9261402863
909	0.9253930279
910	0.9243310938
911	0.9233853989
912	0.923262217
913	0.923020017
914	0.921732519
915	0.9211806838
916	0.9206224647
917	0.9199891932
918	0.9196897781
919	0.9190200085
920	0.9183401617
921	0.9171113666
922	0.9158343822
923	0.91468213
924	0.9133607218
925	0.9126459322
926	0.9116322526
927	0.9105081154
928	0.9095799948
929	0.9082578379
930	0.9071324205
931	0.9061205739
932	0.9046674101
933	0.9039697829
934	0.9033225423
935	0.903206451
936	0.9021126058
937	0.9017650043
938	0.9016489924
939	0.9006535615
940	0.8994084459
941	0.8986261805
942	0.8977766515
943	0.8968696865
944	0.8956993185
945	0.8949429554
946	0.8942055943
947	0.8930703148
948	0.8921230691
949	0.8911217352
950	0.8903740157
951	0.889030422
952	0.888325552
953	0.8869641719
954	0.8860137193
955	0.8846515546
956	0.8841457225
957	0.8837369615
958	0.8828247155
959	0.8817339014
960	0.8813316418
961	0.8803068613
962	0.8791508987
963	0.878085835
964	0.8768343403
965	0.8759012255
966	0.8757997248
967	0.8744874896
968	0.8740984599
969	0.8738798091
970	0.8731761655
971	0.8720373077
972	0.870886561
973	0.8704364984
974	0.8692882811
975	0.8684901663
976	0.8672468812
977	0.8665726196
978	0.8655782621
979	0.8648505588
980	0.8638958929
981	0.8631143077
982	0.8621348405
983	0.8611396228
984	0.8604505326
985	0.8594951145
986	0.858422547
987	0.8575530858
988	0.8574295754
989	0.8565681225
990	0.8562678054
991	0.8553177858
992	0.854241347
993	0.853325729
994	0.8527029519
995	0.8517085506
996	0.8506928939
997	0.8494298787
998	0.848895839
999	0.8483735868
